"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","354","n/e","n/e","1422","0","n/e","n/e","n/e","n/e","1414","1","2093","1229","n/e","n/e","25","n/e","0","n/e","0","353"
"BZN|PT","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","351","n/e","n/e","1177","0","n/e","n/e","n/e","n/e","679","35","1915","1132","n/e","n/e","23","n/e","0","n/e","1","405"
"BZN|PT","03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","340","n/e","n/e","1097","0","n/e","n/e","n/e","n/e","668","461","1885","1169","n/e","n/e","24","n/e","0","n/e","1","441"
"BZN|PT","03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","340","n/e","n/e","1109","0","n/e","n/e","n/e","n/e","619","687","1885","1079","n/e","n/e","25","n/e","0","n/e","2","468"
"BZN|PT","03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)","343","n/e","n/e","1099","0","n/e","n/e","n/e","n/e","568","946","1891","1086","n/e","n/e","25","n/e","0","n/e","4","528"
"BZN|PT","03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)","344","n/e","n/e","1106","0","n/e","n/e","n/e","n/e","691","874","2015","1124","n/e","n/e","25","n/e","0","n/e","4","593"
"BZN|PT","03.01.2023 05:00 - 03.01.2023 06:00 (CET/CEST)","341","n/e","n/e","1159","0","n/e","n/e","n/e","n/e","684","660","2017","1299","n/e","n/e","23","n/e","0","n/e","4","559"
"BZN|PT","03.01.2023 06:00 - 03.01.2023 07:00 (CET/CEST)","341","n/e","n/e","1374","0","n/e","n/e","n/e","n/e","669","135","1996","1175","n/e","n/e","23","n/e","0","n/e","4","560"
"BZN|PT","03.01.2023 07:00 - 03.01.2023 08:00 (CET/CEST)","344","n/e","n/e","1568","0","n/e","n/e","n/e","n/e","910","82","2279","1281","n/e","n/e","23","n/e","0","n/e","5","555"
"BZN|PT","03.01.2023 08:00 - 03.01.2023 09:00 (CET/CEST)","347","n/e","n/e","1626","0","n/e","n/e","n/e","n/e","1547","1","2250","1324","n/e","n/e","25","n/e","1","n/e","5","499"
